id,length,width,thickness,neck,provenience,type
349188,41.1,17.4,3.4,8.3,"White Dog Cave, Arizona",dart
1955815,35.8,24.2,7.2,15.3,"Allred Shelter, Missouri",dart
D2429,81.7,20.1,6.4,21.9,"Kimberley, NW Australia",dart
97179,21.8,14,2.9,9.8,"Steamboat Cave, New Mexico",dart
97179,39.5,20.5,4.3,11.2,"Steamboat Cave, New Mexico",dart
A4515-1/6,55.8,22.6,4.2,13.6,"Cave 2, San Juan County, Utah",dart
A4515-1/7,70.4,20,4.2,14.9,"Cave 2, San Juan County, Utah",dart
A4515-1/8,60.4,20.2,4,13.9,"Cave 2, San Juan County, Utah",dart
A4515-1/9,54.1,20.3,4.9,15.3,"Cave 2, San Juan County, Utah",dart
A4515-1/10,60.4,20.5,4.6,10.4,"Cave 2, San Juan County, Utah",dart
A4515-1/11,60.7,24.9,4.5,18.8,"Cave 2, San Juan County, Utah",dart
A4515.30-47,34.3,20.4,4.8,13.4,"Cave 2, San Juan County, Utah",dart
A4515.30-48,26.5,23.7,5.2,16.7,"Cave 2, San Juan County, Utah",dart
NA-7031,42.3,16.2,5.4,11.4,"Point Barrow, Alaska",dart
SA-3758,38,18,5,16.5,"Nazca vicinity, Peru",dart
P29-30.4G1,44.1,24,5.2,17.5,"Sand Dune Cave, Utah",dart
P29-30.4G2,54.6,27.5,4.8,15.6,"Sand Dune Cave, Utah",dart
P29-30.4G3,49.2,24.6,5.7,19.1,"Sand Dune Cave, Utah",dart
P29-30.4G4,48.5,17.4,4.6,13.3,"Sand Dune Cave, Utah",dart
P29-30.4G5,57.4,23.4,5.4,17.7,"Sand Dune Cave, Utah",dart
P29-30.4G6,63,23.1,5.1,19.1,"Sand Dune Cave, Utah",dart
66.56.3.3,57.2,27.4,4,17.9,"San Juan County, Utah",dart
66.55.3.3,58.8,28,5.5,18.2,"San Juan County, Utah",dart
66.56.5.1,60.4,30,5.8,19.2,"San Juan County, Utah",dart
66.55.3.1,52.8,27.5,5.1,17.4,"San Juan County, Utah",dart
66.56.3.1,85.3,32,5.8,19.3,"San Juan County, Utah",dart
66.55.3.2,66.5,28.4,5,13.8,"San Juan County, Utah",dart
66.56.5.2,67.1,29.7,5.5,19.9,"San Juan County, Utah",dart
95.2.147.1,48.9,22.5,5.5,12.5,"San Juan County, Utah",dart
95.2.115.1,61.3,24.6,6,16.8,"San Juan County, Utah",dart
A3048,38.3,19.7,3.3,11.2,"White Dog Cave, Arizona",dart
A3117,56.4,25,4.8,16.1,"White Dog Cave, Arizona",dart
A2814,39.1,19.4,4.4,10.9,"White Dog Cave, Arizona",dart
A3048,39.9,15.4,3.1,10.3,"White Dog Cave, Arizona",dart
96746,50.6,26.2,7.2,15.1,"Ceremonial Cave, Texas",dart
96745,39,19,6.7,11.4,"Ceremonial Cave, Texas",dart
A5582,57.3,29.2,4.7,16.9,"Broken Roof Cave, Arizona",dart
A5528,65.4,29.6,4.1,16.3,"Broken Roof Cave, Arizona",dart
97179,42.4,25,4.2,13.4,"Steamboat Cave, New Mexico",dart
NA,34,20.3,6,15,"Potter Creek Cave, California",dart
50.2/5213E,41.1,16.5,3.6,9.7,California (?),arrow
50.2/5213F,38.2,16,4.1,8.8,California (?),arrow
50.2/5213A,44.7,15.4,3.6,7.4,California (?),arrow
50.1/6135D,33.7,12.6,3.8,8.9,"Hupa (Klamath River, California)",arrow
50.1/6135G,32.6,17.6,4.2,12.2,"Hupa (Klamath River, California)",arrow
50.1/6135B,35,19.6,5.2,14.6,"Hupa (Klamath River, California)",arrow
50.1/2206D,30.1,17.5,4.5,12.4,Blackfoot,arrow
50.2/2488,36,17.9,4.2,14.5,Unlocalized Plains,arrow
50/9144B,37.2,13.3,4.2,9.2,White Mt. Apache (Arizona),arrow
Jan-37,31,14.6,3,8.5,Mt. Indians (Coast Range California),arrow
50/1650B,27.8,14.9,4.4,11.6,Shasta (California),arrow
50.1/5902,75.9,28.5,9.8,20.9,Menomini (Wisconsin),arrow
50/284C,24.8,12.8,3.1,7.8,"Noko (Mooretown, California)",arrow
50/881A,22.5,12.4,2.2,6.5,Towallamings,arrow
50/881G,19.3,12.2,2.3,6,Towallamings,arrow
50/881H,21.6,12.5,2.9,7,Towallamings,arrow
50/881C,20.5,11.8,2.7,6.5,Towallamings,arrow
50/881E,23.3,11.6,2.7,5.2,Towallamings,arrow
50/881L,21,12.5,2.8,6.7,Towallamings,arrow
50.2/1129,37.7,29.3,8.2,13,Unlocalized North America,arrow
50/9163A,29,16.2,4.2,12,White Mt. Apache (Arizona),arrow
50/9163B,30.8,18.1,3.7,13.7,White Mt. Apache (Arizona),arrow
50.1/2625D,15,11.2,2.5,6.3,Nambe (?) New Mexico,arrow
50.2/1223,32.7,16.4,4.7,12.8,Zuni (Arizona),arrow
50.1/2625A,17,10.8,1.8,5.1,Nambe (?) New Mexico,arrow
50.2/2486,27.9,14.2,4.2,7.3,Unlocalized Plains,arrow
50/9144B,35.1,13.8,3.3,11.3,White Mt. Apache (Arizona),arrow
50/5757F,17.2,9.6,2.3,7.3,Apache,arrow
50.1/4868,21.2,15.4,4,10.7,Narez (Sonora),arrow
H/4594,32.5,10.6,3.2,7.6,Unlocalized North America,arrow
16/8642B,22.9,11.6,4.1,9.3,Thompson River,arrow
50/9144B,32.5,12.2,4.4,10.4,White Mt. Apache (Arizona),arrow
50/9144B,35.1,12.8,3.5,10.8,White Mt. Apache (Arizona),arrow
50.2/2483,18,9.9,2.7,5.9,Unlocalized Plains,arrow
50.1/2720A,19.7,11,2.5,9.2,San Idlefonso (New Mexico),arrow
50.1/2720B,18.8,11.7,3.5,8.7,San Idlefonso (New Mexico),arrow
50.1/2720C,14.9,9.2,2.6,7,San Idlefonso (New Mexico),arrow
50/9834,52.1,32.4,9,19.6,Menomini (Wisconsin),arrow
50/9144B,29,12.5,4,8.7,White Mt. Apache (Arizona),arrow
50/9144B,37.4,13.5,3.7,10.7,White Mt. Apache (Arizona),arrow
50/9144B,40.4,13.5,5,10.4,White Mt. Apache (Arizona),arrow
50/9144B,38.3,12.6,5,10.5,White Mt. Apache (Arizona),arrow
50/9144B,37.2,12.3,4.1,10.4,White Mt. Apache (Arizona),arrow
50/9144B,41.2,13.1,4.4,10.7,White Mt. Apache (Arizona),arrow
50/9144B,36.4,13.4,5,11.2,White Mt. Apache (Arizona),arrow
50/9144B,30.9,14.3,4.3,10.4,White Mt. Apache (Arizona),arrow
50/9144B,33.7,13.2,5.5,9.4,White Mt. Apache (Arizona),arrow
50/9144B,34.6,13.2,4.7,10.3,White Mt. Apache (Arizona),arrow
50/9144B,35,14.2,5.8,10.1,White Mt. Apache (Arizona),arrow
50/9144B,31,12,4.4,9.6,White Mt. Apache (Arizona),arrow
50/9144B,40.8,12.8,4.8,10.5,White Mt. Apache (Arizona),arrow
50/9144B,32.5,12.6,4.4,9.9,White Mt. Apache (Arizona),arrow
50/9116C,43.6,24.1,4.8,17.7,White Mt. Apache (Arizona),arrow
50.2/3777,21.8,19.3,3.1,8.4,"Paviotso (Pyramid Lake, Nevada)",arrow
50.2/3776,26.9,20.4,7,12.5,"Paviotso (Pyramid Lake, Nevada)",arrow
50/9144B,37.8,13.4,5.4,10.5,White Mt. Apache (Arizona),arrow
50/9144B,37.8,13,4.6,9.5,White Mt. Apache (Arizona),arrow
50/9144C,40,12.6,5.7,9.8,White Mt. Apache (Arizona),arrow
50/9144B,29,14.5,5.1,10,White Mt. Apache (Arizona),arrow
50/284B,26,12.2,3.6,6.9,"Noko (Mooretown, California)",arrow
50.1/6525A,21,10.3,5.3,9.1,Papago,arrow
A5_,43,20.9,3.7,15.3,Unlocalized North America,arrow
A7_,51.8,22.4,4.1,15.3,Unlocalized North America,arrow
A9_,43.2,18.4,4.3,11.6,Unlocalized North America,arrow
A8_,35.5,18,6.3,15,Unlocalized North America,arrow
A2_,45,18.9,2.8,12.7,Unlocalized North America,arrow
A6_,55.4,24,3.4,15.5,Unlocalized North America,arrow
A1_,42.6,20,3,15.3,Unlocalized North America,arrow
A3_,40,17.9,4.6,12.3,Unlocalized North America,arrow
50/1650A,30,16.6,4.8,9.5,Shasta (California),arrow
50/1650C,33.9,14.4,4.6,11.8,Shasta (California),arrow
50/4148A,24.9,11.7,3.2,7.8,Hot Creek? (California),arrow
50/4148C,31.4,12.8,4.2,7.6,Hot Creek? (California),arrow
50/4148B,38,12.7,4.7,9.1,Hot Creek? (California),arrow
50/4148,29.5,12.1,3,7.4,Hot Creek? (California),arrow
50/4107B,27.7,15.1,6,10,Metawhiya,arrow
50/4107E,19.8,13.3,3.8,9.4,Metawhiya,arrow
50/4109D,23.3,11.7,3.6,10.5,Yuma,arrow
50/4109E,25.6,11,3.8,8.5,Yuma,arrow
50/4109F,28.1,12.1,3.7,10.7,Yuma,arrow
50/4109B,26.2,12.9,4.2,9.7,Yuma,arrow
50/9163C,32.7,18.5,4.2,14.6,White Mt. Apache (Arizona),arrow
50/9163C,27.1,14.6,5.3,10.7,White Mt. Apache (Arizona),arrow
50/9163C,31,19.2,5.4,12.8,White Mt. Apache (Arizona),arrow
50/9163C,30,17.6,3.2,12.2,White Mt. Apache (Arizona),arrow
50/9163C,35,16.8,5.6,12,White Mt. Apache (Arizona),arrow
50/9163C,33.9,17.1,4.5,11.9,White Mt. Apache (Arizona),arrow
50/9163C,36.3,16.9,6.1,12,White Mt. Apache (Arizona),arrow
A4,40.1,21,3,14.1,Unlocalized North America,arrow
50.2/5213(H),42.4,18.9,4.3,9.5,California (?),arrow
16/1277,45.8,17.5,4.3,7,Thompson River,arrow
16/1278,39.2,17,4.6,8.2,Thompson River,arrow
50/284A,48.6,18.8,3.5,10.3,"Noko (Mooretown, California)",arrow
50.1/2625B,15.2,12,2.1,7.8,Nambe (?) New Mexico,arrow
50.1/2625C,13.4,9.4,1.7,5.1,Nambe (?) New Mexico,arrow
1/2708C,34.4,18.2,3.5,11.2,Nez Perce (Idaho),arrow
5.02/5215A,25.3,15.9,4.9,11.8,California (?),arrow
5.02/5215B,31.8,14.6,4.3,11.5,California (?),arrow
5.02/5215D,31.5,15,4.8,9.2,California (?),arrow
5.02/5215C,30.9,15.5,3.4,12.7,California (?),arrow
50.1/4875,23.2,14.2,4.1,10.5,Narez (Sonora),arrow
50/4148J,37.7,13.5,4.6,9.5,Hat Creek (?) (California?),arrow
50/4148E,29,11.2,3.5,9,Hat Creek (?) (California?),arrow
50/4148C,24.4,12.5,3.1,8.1,Hat Creek (?) (California?),arrow
50/4148H,28.2,13.7,3.7,9.1,Hat Creek (?) (California?),arrow
50/4148I,25.3,13.4,3.8,8.2,Hat Creek (?) (California?),arrow
50/4148D,44.2,13.2,6.1,9,Hat Creek (?) (California?),arrow
50/9163C,29,16.9,3.9,12.8,White Mt. Apache (Arizona),arrow
50/9163C,45,17.6,3.2,12.8,White Mt. Apache (Arizona),arrow
50/9163C,30.7,16.8,3.3,11.7,White Mt. Apache (Arizona),arrow
50/9163C,32.7,16.6,5.4,12.5,White Mt. Apache (Arizona),arrow
16/9062C,29.6,13.8,2.8,6.3,Unlocalized North America,arrow
50.1/3027,18.4,15.2,2.9,10.7,Taos (New Mexico),arrow
50.1/2857A,19.2,10.7,4.4,7.4,San Idlefonso (New Mexico),arrow
50.1/2857B,32.5,17.7,5,12.6,San Idlefonso (New Mexico),arrow
50.1/2857C,26.5,13.6,3.2,8.9,San Idlefonso (New Mexico),arrow
50.1/2857D,20.7,12.2,2.4,7.4,San Idlefonso (New Mexico),arrow
50.1/2857E,23.7,16.4,3.7,10.6,San Idlefonso (New Mexico),arrow
H-4569,22.3,10.8,2.7,6.4,Pueblo Bonito (New Mexico),arrow
H-4582,23.2,11.1,2.8,8.3,Pueblo Bonito (New Mexico),arrow
H-4575,31.3,11.8,2.7,6.8,Pueblo Bonito (New Mexico),arrow
H-4576,21.3,9.7,2.7,6.7,Pueblo Bonito (New Mexico),arrow
H-4584,21,11.3,2.3,7.3,Pueblo Bonito (New Mexico),arrow
H-4595,22.5,12.3,2.8,6.6,Pueblo Bonito (New Mexico),arrow
H-4585,24.9,10.2,2.4,6.7,Pueblo Bonito (New Mexico),arrow
H-4583,24.3,13,2.9,7.5,Pueblo Bonito (New Mexico),arrow
H-4581,27.3,12.6,2.7,8,Pueblo Bonito (New Mexico),arrow
H-4577,24.8,11.5,3.4,7.6,Pueblo Bonito (New Mexico),arrow
H-4591,25.1,10.4,2.7,7.3,Pueblo Bonito (New Mexico),arrow
H-4572,30.8,11.2,2.8,6.5,Pueblo Bonito (New Mexico),arrow
H-4586,27.7,10.8,3,6.4,Pueblo Bonito (New Mexico),arrow
H-4571,29.2,11.7,3.2,7.3,Pueblo Bonito (New Mexico),arrow
