east,south,length,width,segment,inside,area,points,abraders,discs,earplugs,effigies,ceramics,total,types
901.39,75.07,12,12,2,0,144,0,1,0,0,0,0,1,1
973.01,81.33,16,16,2,0,256,0,0,0,0,1,0,1,1
889.71,163.21,17,18,1,1,306,1,0,1,0,1,1,4,4
924.16,193.1,21,21.5,1,1,451.5,2,1,1,1,0,5,10,8
911.9,216.55,20.5,20,1,1,410,3,2,2,1,0,4,12,9
939.73,250.75,16.5,16,1,1,264,0,0,0,0,0,0,0,0
948.29,229.06,18,19,1,1,342,5,0,5,0,0,4,14,8
962.5,211.67,21,19,1,1,399,13,0,0,2,2,12,29,17
979.24,194.28,7.5,8,2,0,60,0,0,0,0,0,0,0,0
991.69,153.24,19,15.5,2,0,217,1,0,0,0,1,0,2,2
982.35,175.13,17.5,17,2,0,297.5,2,0,1,0,0,0,3,3
989.16,250.17,13,10.5,3,0,136.5,0,0,0,0,0,0,0,0
998.31,211.08,13.5,12,3,0,162,0,0,1,0,0,0,1,1
994.03,228.47,13,13,3,0,169,0,0,1,0,0,2,3,3
765.34,297.26,16.5,17,1,1,280.5,3,1,2,1,0,1,8,7
786.94,255.64,21,20.5,1,1,430.5,8,1,7,0,1,10,27,16
796.29,228.47,19,19,1,1,361,7,1,11,1,0,18,38,14
809.33,204.24,20,19,1,1,380,6,7,4,0,0,14,31,9
835.8,184.31,19,18,1,1,342,2,1,3,0,1,10,17,10
844.55,165.75,15,16,1,1,240,2,1,2,1,1,4,11,7
867.91,203.66,21,20,1,1,420,7,1,3,2,2,20,35,14
877.25,180.6,18,20.5,1,1,369,3,0,2,1,0,3,9,7
825.87,142.69,12,12,2,0,144,1,1,0,0,0,2,4,4
813.03,158.32,14,14.5,2,0,203,1,0,0,1,0,4,6,5
800.57,177.47,14.5,15,2,0,217.5,2,0,0,0,0,1,3,2
935.45,451.83,10,12,3,0,120,0,5,0,0,0,0,5,1
953.35,407.67,11.5,12.5,3,0,143.75,1,0,0,1,0,1,3,3
959.39,385.39,14,14,3,0,196,2,0,1,0,0,1,4,4
967.56,365.66,16.5,15,3,0,247.5,0,0,0,0,0,0,0,0
1017.58,274.98,16.5,14.5,3,0,239.25,4,0,0,0,1,0,5,5
1026.14,256.42,12,11.5,3,0,138,2,0,0,0,0,0,2,2
1047.94,216.55,10,11,2,0,110,0,1,0,0,0,0,1,1
1057.09,196.82,9,10,2,0,90,1,0,0,0,0,1,2,2
1018.16,200.53,16,16,2,0,256,0,0,0,0,0,0,0,0
932.92,359.99,14,14,3,0,196,0,0,0,0,0,0,0,0
922.41,384.22,15,15,3,0,225,1,1,0,0,0,0,2,2
908.2,405.33,14,15,3,0,210,3,0,0,0,0,0,3,3
898.27,425.06,16,16,3,0,256,1,0,0,0,0,2,3,3
854.48,397.9,18.5,19.5,1,1,360.75,2,0,0,3,1,1,7,4
864.8,376.21,18,18,1,1,324,0,0,0,0,0,0,0,0
894.57,356.28,14.5,14.5,1,1,210.25,3,0,0,0,1,0,4,4
898.27,330.29,14,16,1,1,224,2,0,0,0,0,2,4,3
905.08,310.35,18.5,18,1,1,333,1,0,0,0,0,3,4,3
913.65,289.25,18,24,1,1,432,14,2,5,2,3,8,34,16
866.74,288.08,20.5,16.5,1,1,338.25,12,0,1,0,1,4,18,13
865.57,314.07,16,16,1,1,256,2,0,0,0,2,1,5,4
859.35,336.34,18,17.5,1,1,315,6,2,4,4,0,7,23,11
816.14,381.09,14.5,16,1,1,232,2,0,1,1,0,3,7,7
837.16,341.42,15,15.5,1,1,232.5,1,0,1,1,0,5,8,6
825.29,359.99,16.3,15,1,1,247.5,1,0,0,0,0,10,11,6
824.7,291.01,18,17.5,1,1,315,6,0,1,2,2,5,16,11
809.33,309.77,18,18,1,1,324,11,0,0,1,3,2,17,10
789.48,339.47,15.5,16.5,1,1,255.75,3,0,0,0,0,0,3,3
749.38,345.72,14.5,15,1,1,217.5,0,0,0,0,0,3,3,2
754.83,325.21,19.5,19,1,1,370.5,5,0,2,2,0,6,15,8
773.32,276.74,20,18,1,1,360,12,0,2,1,0,3,18,12
774.68,360.58,16,15,1,1,240,0,1,0,0,0,0,1,1
778.38,414.51,15,14.5,3,0,217.5,0,0,1,0,0,2,3,3
788.31,399.46,14.5,14.5,3,0,210.25,0,0,0,0,0,0,0,0
825.29,413.92,14.5,16.5,3,0,239.25,0,0,0,0,0,0,0,0
835.8,125.49,12.5,11,2,0,137.5,2,0,1,0,0,3,6,6
854.48,144.06,16,18,1,1,288,8,0,0,0,0,2,10,5
878.42,116.7,13,15,2,0,195,0,0,0,0,0,0,0,0
889.71,92.47,12,13,2,0,156,0,0,1,0,1,1,3,3
943.43,74.49,12,12.5,2,0,150,1,0,0,0,0,1,2,2
939.14,86.99,11,12,2,0,132,0,2,0,3,0,1,6,3
924.94,97.55,12,12,2,0,144,0,0,0,0,0,0,0,0
965.42,105.75,15.5,15.5,2,0,240.25,0,0,0,0,0,0,0,0
999.67,130.96,13.5,13,2,0,175.5,1,0,1,0,0,1,3,3
939.14,425.06,13,13,3,0,169,8,0,0,0,0,0,8,5
852.53,427.6,20,15.5,3,0,310,1,0,0,0,0,2,3,2
886.21,449.29,14.5,12.5,3,0,181.25,0,0,0,0,0,1,1,1
963.08,301.56,10,11,3,0,110,0,0,0,0,0,0,0,0
979.24,271.86,12,13,3,0,156,0,0,0,0,0,0,0,0
1013.88,181.97,13,11,2,0,143,0,0,0,0,0,0,0,0
1024.97,170.05,11.5,12.5,2,0,143.75,0,0,0,0,0,1,1,1
1028.67,147.77,13.5,13.5,2,0,182.25,2,0,0,0,1,1,4,4
1005.9,106.73,14.5,14.5,2,0,210.25,0,0,0,0,0,0,0,0
990.92,332.04,12.5,13,3,0,162.5,0,0,0,0,0,0,0,0
1001.42,314.07,12.5,14.5,3,0,181.25,0,0,0,0,0,0,0,0
1062.73,176.89,11,12,2,0,132,1,0,0,0,0,1,2,2
893.41,245.09,16,17,1,1,272,8,0,1,0,0,5,14,10
880.37,266.97,17.5,16.5,1,1,288.85,8,0,1,0,0,3,12,9
924.94,266.19,21,22.5,1,1,472.5,17,0,1,0,0,5,23,13
1011.93,300.97,13.5,14.5,3,0,195.75,2,0,1,0,0,0,3,3
1028.09,230.23,15.5,16,3,0,248,1,0,0,0,0,0,1,1
849.23,99.89,12,13.5,2,0,162,2,0,1,0,0,0,3,3
840.86,105.56,13.5,14.5,2,0,195.75,2,0,0,0,0,1,3,3
948.88,173.76,4,5,2,0,20,0,0,0,0,0,0,0,0
905.08,122.36,12,13,2,0,156,0,0,0,0,0,0,0,0
780.91,317.78,13.5,11.5,1,1,155.25,1,0,0,0,0,0,1,1
